raceId,driverId,stop,lap,time,duration,milliseconds,constructorId,grid,position,fastestLapTime,fastestLapSpeed,FastestLapSeconds,FastestLapMilliseconds,engineType
1061,4,2,24,16:19:10,29.743,29743,214,7,7,01:31.7,231.276,91.7,91700,3
1062,4,1,2,15:08:13,24:15.0,1454979,214,9,4,01:20.4,196.264,80.4,80400,3
1062,4,2,3,15:34:40,37.122,37122,214,9,4,01:20.4,196.264,80.4,80400,3
1062,4,3,39,16:25:35,21.523,21523,214,9,4,01:20.4,196.264,80.4,80400,3
1064,4,1,33,15:45:41,19.018,19018,214,9,6,01:14.3,206.294,74.3,74300,3
1065,4,1,25,15:40:14,24.797,24797,214,9,6,01:14.3,206.294,74.3,74300,3
1066,4,1,36,16:04:40,30.157,30157,214,6,6,01:38.7,213.331,98.7,98700,3
1066,4,2,50,16:29:34,30.702,30702,214,6,6,01:38.7,213.331,98.7,98700,3
1067,4,1,30,15:51:43,29.116,29116,214,5,16,01:33.3,206.073,93.3,93300,3
1069,4,1,7,14:16:03,23.576,23576,214,19,0,01:40.1,198.335,100.1,100100,3
1069,4,2,28,14:52:44,23.844,23844,214,19,0,01:40.1,198.335,100.1,100100,3
1069,4,3,39,15:11:40,23.314,23314,214,19,0,01:40.1,198.335,100.1,100100,3
1070,4,1,39,13:59:43,23.985,23985,214,12,9,01:20.7,191.973,80.7,80700,3
1071,4,1,7,14:12:52,17.751,17751,214,12,9,01:13.9,209.848,73.9,73900,3
1071,4,2,8,14:15:04,17.705,17705,214,12,9,01:13.9,209.848,73.9,73900,3
1071,4,3,34,14:50:16,24.375,24375,214,12,9,01:13.9,209.848,73.9,73900,3
1072,4,1,10,20:50:27,20.405,20405,214,13,13,01:31.6,242.558,91.6,91600,3
1072,4,2,13,20:59:01,16:59.9,1019850,214,13,13,01:31.6,242.558,91.6,91600,3
1072,4,3,15,21:22:31,18:21.8,1101826,214,13,13,01:31.6,242.558,91.6,91600,3
1072,4,4,44,22:32:14,21.097,21097,214,13,13,01:31.6,242.558,91.6,91600,3
1073,4,1,36,17:58:06,21.304,21304,214,11,8,01:27.6,217.01,87.6,87600,3
1051,8,1,10,17:19:14,26.174,26174,51,16,14,01:26.4,224.275,86.4,86400,2
1051,8,2,30,17:49:40,25.633,25633,51,16,14,01:26.4,224.275,86.4,86400,2
1052,8,1,13,18:30:52,24.107,24107,51,14,11,01:35.2,204.672,95.2,95200,2
1052,8,2,29,18:57:06,24.046,24046,51,14,11,01:35.2,204.672,95.2,95200,2
1053,8,1,26,15:47:55,30.28,30280,51,16,13,01:18.4,225.548,78.4,78400,2
1053,8,2,32,15:58:16,24:52.6,1492612,51,16,13,01:18.4,225.548,78.4,78400,2
1053,8,3,33,16:24:42,01:02.9,62892,51,16,13,01:18.4,225.548,78.4,78400,2
1055,8,1,37,15:57:41,21.572,21572,51,17,12,01:22.9,203.094,82.9,82900,2
1056,8,1,43,15:58:41,24.077,24077,51,14,11,01:15.0,160.237,75,75000,2
1057,8,1,13,16:27:59,20.048,20048,51,14,10,01:45.6,204.645,105.6,105600,2
1057,8,2,47,17:34:05,15.064,15064,51,14,10,01:45.6,204.645,105.6,105600,2
1057,8,3,48,17:37:06,33:36.4,2016437,51,14,10,01:45.6,204.645,105.6,105600,2
1058,8,1,36,15:46:10,21.227,21227,51,18,11,01:09.1,224.869,69.1,69100,2
1059,8,1,33,15:59:18,31.327,31327,51,17,17,01:38.0,214.621,98,98000,2
1060,8,1,37,15:48:30,21.896,21896,51,16,15,01:08.9,225.699,68.9,68900,2
1061,8,1,2,15:08:14,34:23.0,2062984,51,13,15,01:31.9,230.78,91.9,91900,2
1061,8,2,18,16:09:59,28.11,28110,51,13,15,01:31.9,230.78,91.9,91900,2
1062,8,1,2,15:08:20,24:17.8,1457844,51,13,10,01:21.5,193.473,81.5,81500,2
1062,8,2,3,15:34:41,35.451,35451,51,13,10,01:21.5,193.473,81.5,81500,2
1062,8,3,15,15:52:26,36.457,36457,51,13,10,01:21.5,193.473,81.5,81500,2
1062,8,4,53,16:45:57,21.172,21172,51,13,10,01:21.5,193.473,81.5,81500,2
1066,8,1,15,15:29:28,30.102,30102,51,13,8,01:40.3,209.921,100.3,100300,2
1066,8,2,47,16:23:59,30.131,30131,51,13,8,01:40.3,209.921,100.3,100300,2
1067,8,1,37,16:02:50,23.164,23164,51,17,12,01:32.6,207.556,92.6,92600,2
1069,8,1,12,14:24:38,24.191,24191,51,15,13,01:41.3,195.843,101.3,101300,2
1069,8,2,31,14:57:43,24.09,24090,51,15,13,01:41.3,195.843,101.3,101300,2
1070,8,1,32,13:50:02,22.424,22424,51,10,8,01:20.7,191.969,80.7,80700,2
1071,8,1,7,14:13:01,18.327,18327,51,0,12,01:12.6,213.607,72.6,72600,2
1071,8,2,8,14:15:15,18.763,18763,51,0,12,01:12.6,213.607,72.6,72600,2
1071,8,3,28,14:42:38,23.541,23541,51,0,12,01:12.6,213.607,72.6,72600,2
1071,8,4,52,15:13:19,22.666,22666,51,0,12,01:12.6,213.607,72.6,72600,2
1072,8,1,13,20:58:54,16:48.6,1008569,51,12,15,01:32.8,239.565,92.8,92800,2
1072,8,2,15,21:22:24,18:19.3,1099282,51,12,15,01:32.8,239.565,92.8,92800,2
1072,8,3,26,22:01:34,34.489,34489,51,12,15,01:32.8,239.565,92.8,92800,2
1073,8,1,21,17:35:29,22.338,22338,51,18,0,01:29.7,211.951,89.7,89700,2
1064,9,1,40,15:55:29,19.708,19708,51,16,15,01:15.4,203.234,75.4,75400,2
1065,9,1,26,15:42:21,24.501,24501,51,17,14,01:25.8,242.924,85.8,85800,2
1051,20,1,26,17:43:20,25.726,25726,117,10,10,01:26.4,224.078,86.4,86400,1
1052,20,1,24,18:49:08,24.626,24626,117,20,15,01:35.6,203.871,95.6,95600,1
1053,20,1,3,15:10:09,32.024,32024,117,0,15,01:19.1,223.491,79.1,79100,1
1053,20,2,20,15:39:11,31.184,31184,117,0,15,01:19.1,223.491,79.1,79100,1
1053,20,3,22,15:42:52,39.502,39502,117,0,15,01:19.1,223.491,79.1,79100,1
1053,20,4,32,15:59:21,24:12.3,1452323,117,0,15,01:19.1,223.491,79.1,79100,1
1053,20,5,33,16:25:15,52.043,52043,117,0,15,01:19.1,223.491,79.1,79100,1
1054,20,1,2,15:06:26,21.398,21398,117,10,13,01:22.4,203.246,82.4,82400,1
1054,20,2,3,15:08:48,21.75,21750,117,10,13,01:22.4,203.246,82.4,82400,1
1054,20,3,22,15:37:40,26.62,26620,117,10,13,01:22.4,203.246,82.4,82400,1
1055,20,1,21,15:34:52,23.087,23087,117,13,13,01:22.8,203.211,82.8,82800,1
1055,20,2,38,15:59:08,21.973,21973,117,13,13,01:22.8,203.211,82.8,82800,1
1056,20,1,31,15:42:42,24.369,24369,117,8,5,01:15.3,159.503,75.3,75300,1
1057,20,1,18,16:36:33,19.841,19841,117,11,2,01:44.9,206.032,104.9,104900,1
1057,20,2,47,17:33:42,14.945,14945,117,11,2,01:44.9,206.032,104.9,104900,1
1057,20,3,48,17:36:49,33:20.4,2000416,117,11,2,01:44.9,206.032,104.9,104900,1
1058,20,1,27,15:35:28,21.546,21546,117,14,12,01:09.8,222.637,69.8,69800,1
1059,20,1,37,16:05:29,31.069,31069,117,12,9,01:37.1,216.508,97.1,97100,1
1060,20,1,17,15:24:54,21.086,21086,117,11,17,01:08.4,227.196,68.4,68400,1
1060,20,2,49,16:02:39,20.841,20841,117,11,17,01:08.4,227.196,68.4,68400,1
1061,20,1,2,15:08:08,34:15.2,2055222,117,8,0,01:33.1,227.894,93.1,93100,1
1061,20,2,18,16:10:08,28.145,28145,117,8,0,01:33.1,227.894,93.1,93100,1
1062,20,1,2,15:08:02,24:11.9,1451890,117,10,0,01:21.5,193.613,81.5,81500,1
1062,20,2,3,15:34:31,40.882,40882,117,10,0,01:21.5,193.613,81.5,81500,1
1062,20,3,36,16:21:14,22.703,22703,117,10,0,01:21.5,193.613,81.5,81500,1
1064,20,1,10,15:16:24,18.664,18664,117,15,13,01:14.0,207.312,74,74000,1
1064,20,2,44,16:00:37,18.681,18681,117,15,13,01:14.0,207.312,74,74000,1
1065,20,1,22,15:35:56,25.157,25157,117,11,12,01:25.9,242.672,85.9,85900,1
1065,20,2,26,15:42:41,25.927,25927,117,11,12,01:25.9,242.672,85.9,85900,1
1066,20,1,26,15:48:09,29.242,29242,117,10,12,01:39.3,212.116,99.3,99300,1
1066,20,2,50,16:30:10,32.128,32128,117,10,12,01:39.3,212.116,99.3,99300,1
1067,20,1,36,16:00:56,23.5,23500,117,10,18,01:32.7,207.233,92.7,92700,1
1067,20,2,37,16:03:36,23.514,23514,117,10,18,01:32.7,207.233,92.7,92700,1
1069,20,1,17,14:33:24,24.977,24977,117,18,10,01:40.5,197.517,100.5,100500,1
1069,20,2,38,15:09:49,23.849,23849,117,18,10,01:40.5,197.517,100.5,100500,1
1070,20,1,33,13:51:22,22.277,22277,117,9,7,01:20.5,192.572,80.5,80500,1
1071,20,1,7,14:12:43,18.107,18107,117,9,11,01:13.6,210.668,73.6,73600,1
1071,20,2,8,14:14:57,17.896,17896,117,9,11,01:13.6,210.668,73.6,73600,1
1071,20,3,28,14:42:22,24.464,24464,117,9,11,01:13.6,210.668,73.6,73600,1
1071,20,4,55,15:16:50,22.978,22978,117,9,11,01:13.6,210.668,73.6,73600,1
1072,20,1,13,20:58:56,16:52.3,1012304,117,17,0,01:34.0,236.375,94,94000,1
1072,20,2,15,21:22:20,18:18.7,1098749,117,17,0,01:34.0,236.375,94,94000,1
1073,20,1,23,17:38:23,21.221,21221,117,15,11,01:28.3,215.299,88.3,88300,1
1051,815,1,19,17:32:28,25.419,25419,9,11,4,01:25.6,226.227,85.6,85600,0
1051,815,2,41,18:05:15,25.42,25420,9,11,4,01:25.6,226.227,85.6,85600,0
1052,815,1,2,18:11:56,23.993,23993,9,0,5,01:34.0,207.334,94,94000,0
1052,815,2,19,18:40:35,24.105,24105,9,0,5,01:34.0,207.334,94,94000,0
1052,815,3,38,19:11:20,24.191,24191,9,0,5,01:34.0,207.334,94,94000,0
1053,815,1,28,15:49:58,44.608,44608,9,2,11,01:19.4,222.585,79.4,79400,0
1053,815,2,33,15:59:11,26:21.2,1581158,9,2,11,01:19.4,222.585,79.4,79400,0
1054,815,1,2,15:06:18,21.89,21890,9,4,4,01:20.6,207.715,80.6,80600,0
1054,815,2,3,15:08:39,22.1,22100,9,4,4,01:20.6,207.715,80.6,80600,0
1054,815,3,51,16:17:18,26.607,26607,9,4,4,01:20.6,207.715,80.6,80600,0
1055,815,1,27,15:43:06,22.382,22382,9,8,5,01:19.5,211.743,79.5,79500,0
1055,815,2,57,16:24:55,21.345,21345,9,8,5,01:19.5,211.743,79.5,79500,0
1056,815,1,35,15:47:44,24.548,24548,9,9,4,01:14.6,161.138,74.6,74600,0
1057,815,1,13,16:27:25,21.874,21874,9,6,1,01:44.7,206.432,104.7,104700,0
1057,815,2,47,17:33:39,15.277,15277,9,6,1,01:44.7,206.432,104.7,104700,0
1057,815,3,48,17:36:45,33:18.5,1998466,9,6,1,01:44.7,206.432,104.7,104700,0
1058,815,1,26,15:33:46,23.477,23477,9,4,4,01:07.9,228.956,67.9,67900,0
1058,815,2,54,16:06:26,20.961,20961,9,4,4,01:07.9,228.956,67.9,67900,0
1059,815,1,24,15:43:14,29.682,29682,9,4,3,01:36.7,217.504,96.7,96700,0
1060,815,1,32,15:42:28,21.735,21735,9,3,6,01:08.2,227.956,68.2,68200,0
1061,815,1,2,15:08:37,34:36.4,2076405,9,0,16,01:28.6,239.317,88.6,88600,0
1061,815,2,18,16:10:00,27.892,27892,9,0,16,01:28.6,239.317,88.6,88600,0
1061,815,3,38,16:41:17,27.848,27848,9,0,16,01:28.6,239.317,88.6,88600,0
1061,815,4,48,16:56:54,29.082,29082,9,0,16,01:28.6,239.317,88.6,88600,0
1064,815,1,8,15:13:52,19.287,19287,9,0,8,01:13.5,208.714,73.5,73500,0
1064,815,2,47,16:03:51,18.555,18555,9,0,8,01:13.5,208.714,73.5,73500,0
1065,815,1,26,15:41:34,23.906,23906,9,8,5,01:25.2,244.901,85.2,85200,0
1066,815,1,36,16:04:32,36.026,36026,9,8,9,01:39.2,212.193,99.2,99200,0
1066,815,2,50,16:29:36,32.313,32313,9,8,9,01:39.2,212.193,99.2,99200,0
1067,815,1,37,16:01:47,22.463,22463,9,6,3,01:32.5,207.841,92.5,92500,0
1069,815,1,12,14:24:06,25.018,25018,9,3,3,01:39.6,199.333,99.6,99600,0
1069,815,2,30,14:55:02,23.604,23604,9,3,3,01:39.6,199.333,99.6,99600,0
1070,815,1,40,14:00:14,22.114,22114,9,4,3,01:19.5,194.976,79.5,79500,0
1071,815,1,7,14:12:34,18.308,18308,9,4,4,01:11.0,218.453,71,71000,0
1071,815,2,8,14:14:48,18.136,18136,9,4,4,01:11.0,218.453,71,71000,0
1071,815,3,28,14:42:01,23.165,23165,9,4,4,01:11.0,218.453,71,71000,0
1071,815,4,42,14:59:48,22.656,22656,9,4,4,01:11.0,218.453,71,71000,0
1071,815,5,69,15:33:06,22.916,22916,9,4,4,01:11.0,218.453,71,71000,0
1072,815,1,10,20:50:04,20.71,20710,9,5,0,01:34.1,236.104,94.1,94100,0
1072,815,2,13,20:58:46,16:42.6,1002619,9,5,0,01:34.1,236.104,94.1,94100,0
1073,815,1,21,17:34:55,21.471,21471,9,4,15,01:26.4,219.993,86.4,86400,0
1073,815,2,36,17:57:40,21.413,21413,9,4,15,01:26.4,219.993,86.4,86400,0
1073,815,3,53,18:23:09,21.385,21385,9,4,15,01:26.4,219.993,86.4,86400,0
1051,817,1,26,17:43:19,25.562,25562,1,14,12,01:27.2,222.115,87.2,87200,1
1052,817,1,13,18:30:45,24.688,24688,1,6,7,01:34.9,205.233,94.9,94900,1
1052,817,2,32,19:01:44,24.655,24655,1,6,7,01:34.9,205.233,94.9,94900,1
1053,817,1,27,15:48:57,34.34,34340,1,6,6,01:19.3,222.739,79.3,79300,1
1053,817,2,33,15:59:25,26:14.8,1574827,1,6,6,01:19.3,222.739,79.3,79300,1
1054,817,1,2,15:06:31,21.965,21965,1,16,9,01:22.0,204.31,82,82000,1
1054,817,2,3,15:08:51,22.355,22355,1,16,9,01:22.0,204.31,82,82000,1
1054,817,3,41,16:03:56,28.639,28639,1,16,9,01:22.0,204.31,82,82000,1
1055,817,1,25,15:40:16,22.406,22406,1,7,6,01:21.9,205.612,81.9,81900,1
1055,817,2,46,16:09:49,21.762,21762,1,7,6,01:21.9,205.612,81.9,81900,1
1056,817,1,36,15:49:52,24.715,24715,1,12,12,01:14.6,161.082,74.6,74600,1
1057,817,1,11,16:24:12,20.082,20082,1,13,9,01:45.7,204.428,105.7,105700,1
1057,817,2,47,17:34:01,14.994,14994,1,13,9,01:45.7,204.428,105.7,105700,1
1057,817,3,48,17:37:00,33:35.2,2015163,1,13,9,01:45.7,204.428,105.7,105700,1
1058,817,1,41,15:52:04,21.41,21410,1,13,13,01:09.3,224.295,69.3,69300,1
1059,817,1,16,15:30:21,29.951,29951,1,10,6,01:38.3,213.896,98.3,98300,1
1060,817,1,29,15:38:55,21.151,21151,1,13,7,01:08.8,225.876,68.8,68800,1
1061,817,1,2,15:08:05,34:11.3,2051281,1,6,5,01:31.3,232.325,91.3,91300,1
1061,817,2,20,16:12:48,28.817,28817,1,6,5,01:31.3,232.325,91.3,91300,1
1062,817,1,2,15:08:28,24:17.1,1457127,1,11,11,01:22.8,190.473,82.8,82800,1
1062,817,2,3,15:34:43,34.492,34492,1,11,11,01:22.8,190.473,82.8,82800,1
1062,817,3,20,15:59:29,21.623,21623,1,11,11,01:22.8,190.473,82.8,82800,1
1064,817,1,30,15:42:01,19.449,19449,1,10,11,01:14.9,204.65,74.9,74900,1
1065,817,1,22,15:35:18,23.812,23812,1,2,1,01:24.8,245.894,84.8,84800,1
1066,817,1,22,15:41:11,33.617,33617,1,5,4,01:39.1,212.388,99.1,99100,1
1066,817,2,48,16:25:35,31.016,31016,1,5,4,01:39.1,212.388,99.1,99100,1
1067,817,1,21,15:37:18,23.028,23028,1,20,13,01:33.3,206.067,93.3,93300,1
1069,817,1,11,14:22:38,24.176,24176,1,6,5,01:40.3,197.785,100.3,100300,1
1069,817,2,30,14:55:23,24.036,24036,1,6,5,01:40.3,197.785,100.3,100300,1
1070,817,1,1,13:05:11,38.128,38128,1,7,12,01:21.1,191.126,81.1,81100,1
1070,817,2,38,13:58:47,22.813,22813,1,7,12,01:21.1,191.126,81.1,81100,1
